English,Marathi
go,जा
run,पळ
run,धाव
run,पळा
run,धावा
who,कोण
wow,वाह
fire,आग
fire,फायर
help,वाचवा
help,वाचव
jump,उडी मार
jump,उडी मारा
jump,उडी मार
jump,उडी मारा
stop,थांबा
stop,थांब
wait,थांबा
wait,थांब
hello,हॅलो
hurry,लवकर
hurry,लवकर कर
hurry,लवकर करा
i won,मी जिंकलो
i won,मी जिंकले
get up,ऊठ
got it,पकडलं
got it,कळलं
got it,समजलं
got it,कळलं का
got it,समजलं का
he ran,तो पळाला
he ran,ते पळाले
he ran,तो धावला
he ran,ते धावले
i fell,मी पडलो
i fell,मी पडले
i fell,पडलो
i fell,पडले
i know,मला माहीत आहे
i know,माहितीये
i know,माहीत आहे
i lost,मी हरलो
i lost,मी हरले
i spit,मी थुकतो
i spit,मी थुकते
i work,मी काम करतो
i work,मी काम करते
i am ok,मी ठीक आहे
listen,ऐक
listen,ऐका
no way,शक्यच नाही
really,खरोखर
really,खरंच
really,खरंच का
thanks,धन्यवाद
we won,आम्ही जिंकलो
we won,आपण जिंकलो
why me,मीच का
why me,मी का
ask tom,टॉमला विचार
ask tom,टॉमला विचारा
call me,मला बोलव
call me,मला बोलवा
call me,मला फोन करा
call me,मला फोन कर
call us,आम्हाला फोन कर
call us,आम्हाला फोन करा
come in,आत ये
come on,चल
come on,चला
fold it,घडी घाल
fold it,घडी घाला
get tom,टॉमला घे
get tom,टॉमला आण
get tom,टॉमला पकड
get out,बाहेर हो
get out,बाहेर व्हा
go home,घरी जा
he came,तो आला
he came,ते आले
he left,तो निघाला
he left,ते निघाले
he runs,तो पळतो
he runs,ते पळतात
he runs,तो धावतो
he runs,ते धावतात
help me,वाचवा
help me,वाचव
help me,माझी मदत करा
help me,मला वाचव
help me,मला वाचवा
help us,आमची मदत करा
help us,आमची मदत कर
help us,आम्हाला वाचव
i am tom,मी टॉम
i am tom,टॉम मीच
i am tom,मी टॉम आहे
i am fat,मी जाडा आहे
i am fat,मी जाडी आहे
i am ill,मी आजारी आहे
it is ok,ठीक आहे
it is me,मी आहे
it is me,मी आहे
me too,मी पण
me too,मला पण
open up,उघड
open up,उघडा
perfect,परिपूर्ण
show me,मला दाखव
show me,मला दाखवा
shut up,गप्प
shut up,गप्प हो
shut up,गप्प व्हा
tell me,मला सांग
tell me,मला सांगा
tom ran,टॉम पळाला
tom ran,टॉम धावला
tom won,टॉम जिंकला
wake up,जागे व्हा
wake up,जागा हो
wake up,जागी हो
we care,आम्हाला काळजी आहे
we care,आपल्याला काळजी आहे
we know,आम्हाला माहीत आहे
we know,आपल्याला माहीत आहे
we lost,आम्ही हरलो
we lost,आपण हरलो
welcome,स्वागत
welcome,स्वागत
welcome,सुस्वागतम
welcome,सुस्वागतम
who ate,कोणी खाल्लं
who ran,कोण पळालं
who ran,कोण धावलं
who won,कोण जिंकलं
why not,का नाही
you won,तू जिंकलास
you won,तू जिंकलीस
you won,तुम्ही जिंकलात
back off,हट
be quiet,शांत हो
be quiet,शांत व्हा
beats me,काय माहीत
beats me,कोणास ठाऊक
call tom,टॉमला बोलव
call tom,टॉमला बोलवा
call tom,टॉमला फोन कर
call tom,टॉमला फोन करा
get down,खाली हो
grab tom,टॉमला पकड
grab tom,टॉमला पकडा
grab him,पकडा त्याला
have fun,मजा कर
he spoke,तो बोलला
he spoke,ते बोलले
i can go,मी जाऊ शकतो
i can go,मी जाऊ शकते
i forgot,मी विसरलो
i forgot,मी विसरले
i got it,समजलं
i got it,मिळालं
i looked,मी बघितलं
i looked,मी पाहिलं
i phoned,मी फोन केला
i prayed,मी प्रार्थना केली
i shaved,मी दाढी केली
i talked,मी बोललो
i talked,मी बोलले
i use it,मी ते वापरतो
i use it,मी ते वापरते
i will try,मी प्रयत्न करेन
i am full,माझं पोट भरलंय
i am game,मी तयार आहे
i am late,मला उशीर झाला
i am lazy,मी आळशी आहे
i am poor,मी गरीब आहे
i have won,मी जिंकलोय
i have won,मी जिंकलेय
it is hot,गरम आहे
it is new,नवीन आहे
it is new,ते नवीन आहे
it is old,जुनं आहे
it is old,जुना आहे
it is old,जुनी आहे
kiss tom,टॉमला किस कर
leave it,सोड
leave it,सोडा
leave it,ते सोड
leave it,ते सोडा
leave me,मला सोड
leave me,मला सोडून जा
leave me,मला सोडा
look out,सांभाळ
marry me,माझ्याशी लग्न कर
marry me,माझ्याबरोबर लग्न करा
she came,ती आली
she came,त्या आल्या
she died,ती मेली
she died,त्या मेल्या
she died,ती वारली
she died,त्या वारल्या
sit down,खाली बस
sit down,खाली बसा
sit here,इथे बस
sit here,इथे बसा
stand up,ऊठ
stand up,ऊभी हो
stand up,ऊभे व्हा
stop tom,टॉमला थांबव
stop tom,टॉमला थांबवा
terrific,झकास
they won,ते जिंकले
they won,त्या जिंकल्या
tom came,टॉम आला
tom died,टॉम मेला
tom fell,टॉम पडला
tom knew,टॉमला माहीत होतं
tom left,टॉम सोडून गेला
tom left,टॉम निघाला
tom left,टॉम निघून गेला
tom lied,टॉम खोटं बोलला
tom lies,टॉम खोटं बोलतो
tom lost,टॉम हरला
tom wept,टॉम रडला
toms up,टॉम उठला आहे
use this,हे वापर
use this,हे वापरा
warn tom,टॉमला सावध कर
warn tom,टॉमला सावध करा
watch me,मला बघ
watch me,मला बघा
watch us,आम्हाला बघ
watch us,आम्हाला बघा
we will go,आम्ही जाऊ
we will go,आपण जाऊ
what for,कशासाठी
what for,कशाकरिता
who am i,मी कोण आहे
who came,कोण आलं
who died,कोण मेलं
who fell,कोण पडलं
who is he,तो कोण आहे
who is he,ते कोण आहेत
answer me,मला उत्तर दे
answer me,मला उत्तर द्या
birds fly,पक्षी उडतात
calm down,शांत हो
catch him,त्याला पकड
catch him,त्याला पकडा
catch him,त्यांना पकड
catch him,त्यांना पकडा
come here,इथे ये
come here,इथे या
come home,घरी या
come home,घरी ये
did i win,मी जिंकलो का
did i win,मी जिंकले का
dogs bark,कुत्रे भुंकतात
do not ask,विचारू नका
do not ask,विचारू नकोस
do not cry,रडू नकोस
do not cry,रडू नका
do not die,मरू नकोस
do not die,मरू नका
do not lie,खोटं बोलू नकोस
do not lie,खोटं बोलू नका
do not run,पळू नकोस
do not run,धावू नकोस
do not run,पळू नका
do not run,धावू नका
forget it,विसर
forget it,विसरून जा
forget me,मला विसरून जा
get ready,तयार हो
go inside,आत जा
grab that,ते घ्या
grab that,ते घे
grab that,ते पकड
grab that,ते पकडा
grab this,हे पकड
grab this,हे पकडा
he is ill,तो आजारी आहे
he is ill,ते आजारी आहेत
he is a dj,तो डीजे आहे
he is a dj,ते डीजे आहेत
he is mine,तो माझा आहे
he is mine,ते माझे आहेत
he is sexy,तो सेक्सी आहे
he is sexy,तो सेक्सी असतो
hold this,हे धर
hold this,हे धरा
how is it,कसं आहे
how is it,कसा आहे
how is it,कशी आहे
i can run,मला पळता येतं
i can run,मला धावता येतं
i can run,मी धावू शकतो
i can run,मी पळू शकतो
i can run,मी धावू शकते
i can run,मी पळू शकते
i can ski,मला स्की करता येतं
i can ski,मी स्की करू शकतो
i can ski,मी स्की करू शकते
i can win,मी जिंकू शकतो
i can win,मी जिंकू शकते
i fainted,मला चक्कर आली
i got fat,मी जाडा झालो
i got fat,मी जाडी झाले
i hit tom,मी टॉमला मारलं
i hit tom,मी टॉमला मारतो
i hit tom,मी टॉमला मारते
i laughed,मी हसलो
i laughed,मी हसले
i met him,मी त्याला भेटलो
i met him,मी त्याला भेटले
i saw tom,मी टॉमला पाहिलं
i saw tom,मी टॉमला बघितलं
i saw tom,मला टॉम दिसला
i saw you,मी तुला बघितलं
i saw you,मी तुला पाहिलं
i saw you,मी तुम्हाला बघितलं
i saw you,मी तुम्हाला पाहिलं
i shouted,मी ओरडलो
i shouted,मी ओरडले
i want it,मला हवं आहे
i want it,मला हवा आहे
i want it,मला हवी आहे
i want it,मला पाहिजे
i will go,मी जाईन
i will call,मी फोन करेन
i will sing,मी गाईन
i will stop,मी थांबेन
i will talk,मी बोलेन
i will walk,मी चालेन
i will work,मी काम करेन
i am a man,मी माणुस आहे
i am a man,मी पुरुष आहे
i am awake,मी जागा आहे
i am awake,मी जागी आहे
i am bored,मला कंटाळा आला आहे
i am clean,मी साफ आहे
i am dying,मी मरतोय
i am dying,मी मरतेय
i am going,मी जातोय
i am going,मी जातेय
i am quiet,मी शांत आहे
i am right,मी बरोबर आहे
i am young,मी तरूण आहे
it burned,जळलं
it burned,जळला
it burned,जळली
it rained,पाऊस पडला
it snowed,बर्फ पडला
it is , वाजले आहेत
it is cold,थंड आहे
it is easy,सोपं आहे
it is food,खाणं आहे
it is good,चांगलंय
it is here,इथे आहे
it is here,ते इथं आहे
it is mine,माझं आहे
it is ours,आमचं आहे
it is ours,आपलं आहे
it is sand,वाळू आहे
it is time,वेळ झाला आहे
it is work,काम आहे
keep them,ठेव
keep them,ते ठेव
leave now,आत्ताच नीघ
leave now,आत्ताच निघा
let me go,मला जाऊ द्या
let me go,मला जाऊ दे
let me go,मला जाऊ द्या
let me go,मला जाऊ दे
let me in,मला आत येऊ दे
let me in,मला आत येऊ द्या
let us go,आम्हाला सोड
let us go,आम्हाला सोडा
let us go,आम्हाला जाऊ द्या
let us go,आम्हाला जाऊ दे
let us in,आम्हाला आत येऊ द्या
let us in,आम्हाला आत येऊ दे
let us ask,विचारू या
look back,पाठी बघ
look back,मागे बघ
look back,पाठी बघ
look back,मागे बघ
read this,हे वाच
read this,हे वाचा
search me,माझी तलाशी घ्या
search me,माझी तलाशी घे
see above,वर पहा
see below,खाली पाहा
she cried,ती रडली
she cried,त्या रडल्या
she tried,तिने प्रयत्न केला
she walks,ती चालते
she walks,त्या चालतात
sign here,इथे सही करा
sign here,इथे सही कर
sit there,तिथे बस
sit there,तिथे बसा
start now,आता सुरू करा
start now,आता सुरू कर
stay away,दूर रहा
stay back,मागे राहा
stay home,घरी राहा
stay thin,बारीकच रहा
stop them,त्यांना थांबव
stop them,त्यांना थांबवा
take care,काळजी घे
take care,काळजी घ्या
take care,काळजी घे
take care,काळजी घ्या
take mine,माझं घे
take mine,माझा घे
take mine,माझी घे
take mine,माझं घ्या
take mine,माझी घ्या
take mine,माझा घ्या
take this,हे घे
take this,हे घ्या
take this,हा घे
take this,हा घ्या
take this,ही घे
take this,ही घ्या
thank you,धन्यवाद
that is it,बरोब्बर
that is it,तेच
they fell,ते पडले
they fell,त्या पडल्या
they left,ते निघाले
they left,त्या निघाल्या
they lied,ते खोटं बोलले
they lied,त्या खोटं बोलल्या
they lost,ते हरले
they lost,त्या हरल्या
tom cried,टॉम रडला
tom drank,टॉम प्यायला
tom knits,टॉम विणतो
tom knows,टॉमला माहिती आहे
tom moved,टॉम हलला
tom tried,टॉमने प्रयत्न केला
tom tried,टॉमने करून बघितलं
tom tries,टॉम प्रयत्न करतो
tom voted,टॉमने मत दिलं
tom voted,टॉमने मतदान केलं
tom walks,टॉम चालतो
tom works,टॉम काम करतो
try again,पुन्हा प्रयत्न कर
try again,पुन्हा प्रयत्न करा
try it on,घालून बघ
try it on,घालून बघा
wait here,इथे थांब
wait here,इथे थांबा
watch tom,टॉमला बघ
watch tom,टॉमला बघा
we saw it,आम्ही बघितलं
we saw it,आम्ही पाहिलं
we saw it,आपण बघितलं
we saw it,आपण पाहिलं
we saw it,आम्ही ते बघितलं
we saw it,आपण ते बघितलं
we talked,आम्ही बोललो
we waited,आम्ही थांबलो
